Test Number,Max Eigenvalue,Iterations for Max,Min Eigenvalue,Iterations for Min,Trace,Determinant
172,2.036805263760097,16,-1.073358556809578,18,0.9634720380321067,-2.1862126308454015,
173,-2.190008172677649,31,1.5955520126732248,15,-0.5943959076194676,-3.4943324927274597,
174,-1.2249028497381496,24,0.826620832381331,27,-0.39829124888351775,-1.0125577255039073,
175,1.5202481757931838,10,-0.2647834425678037,7,1.2554671198646918,-0.4025379654619721,
176,-1.8846524537085396,100,1.6808378735932032,83,-0.2037726158482216,-3.167950738118013,
177,null,infinity,null,infinity,2.326218498039402,1.3705888796949808,
178,1.8841787494676854,9,0.7597168249080237,10,2.6439119200941117,1.4314395517377312,
179,null,infinity,null,infinity,1.8486608969315492,1.1838200402417913,
180,2.1812893500360504,6,-0.2979875666189024,7,1.8833031079132398,-0.6499979825018222,
181,-2.281338309934761,7,-0.2456829435292418,7,-2.527017429687026,0.5604851146307805,
182,-1.1863730481646813,14,0.45638348438525717,14,-0.729997749799459,-0.541442205079728,
183,null,infinity,null,infinity,1.616085460410548,0.8587921650232603,
184,-2.1781095481665473,8,0.3630996784385775,7,-1.815013763143695,-0.7908737976554643,
185,-1.1974290101739995,77,null,infinity,-0.13005138611947897,-1.27815847645932,
186,null,infinity,null,infinity,-2.3679179181138665,2.104409431953044,
187,null,infinity,null,infinity,-1.3727233289057694,0.6077786499584025,
188,-1.2100170812429674,4,-0.009131485638053848,5,-1.219148544489558,0.011049253398313669,
189,null,infinity,null,infinity,-0.9193164813922023,2.2582513291865087,
190,-1.4114951079635758,8,-0.3773618588351464,6,-1.788863908778783,0.5326455271653494,
191,1.9782726680201919,24,-1.2265989187625068,23,0.7516608072582502,-2.426619652407421,
